critic_loss,generator_loss,wasserstein,real_score,fake_score,gp
-1.4113244,-1.3065653,1.5824417,3.1154919,1.5330502,0.017111726
-1.2262003,-1.3403659,1.4244494,2.9370582,1.5126088,0.019824915
-1.4652064,-1.5423416,1.6593851,3.1183157,1.4589306,0.019417875
-1.7221338,-1.4668627,1.878641,3.2838595,1.4052185,0.015650725
-1.0868104,-1.4125582,1.1943884,2.7663918,1.5720034,0.010757805
-1.071645,-1.5144422,1.1949809,2.664833,1.4698522,0.01233358
-1.183666,-1.5458798,1.3209274,2.9505754,1.629648,0.013726136
-1.3445406,-1.6051716,1.4148567,3.0763845,1.6615279,0.0070316107
-0.7934275,-1.7463453,0.8787813,2.5183854,1.6396041,0.008535378
-0.8691665,-1.527226,1.020406,2.8507028,1.8302968,0.015123953
-1.2379657,-1.6809748,1.3044747,3.067834,1.7633592,0.0066508953
-1.0618495,-1.7039076,1.1553942,2.8429527,1.6875585,0.009354476
-0.89133763,-1.6206312,0.9690304,2.62073,1.6516995,0.0077692745
-1.227129,-1.7275565,1.3004377,3.0360742,1.7356365,0.0073308754
-1.1169969,-1.8031644,1.1772618,2.8676422,1.6903803,0.0060264915
-1.1541406,-1.8415532,1.2173927,2.7964032,1.5790105,0.0063252077
-0.5975579,-1.6196866,0.66710126,2.5356622,1.8685609,0.0069543337
-0.41761148,-1.5354768,0.49278665,2.339996,1.8472095,0.0075175175
-0.8552853,-1.8051082,0.8904244,2.7601619,1.8697375,0.0035139108
-0.29663637,-1.7215089,0.3883543,2.3076482,1.9192939,0.009171793
-0.53215384,-1.7869442,0.5845982,2.5002131,1.915615,0.0052444357
-0.5420271,-1.8159338,0.58128977,2.3731523,1.7918625,0.003926267
-0.7955915,-1.7894199,0.84941816,2.5008898,1.6514716,0.0053826678
-0.5324521,-1.6255517,0.5917983,2.2935948,1.7017965,0.0059346203
-0.7369491,-1.7006516,0.82208276,2.4943242,1.6722414,0.008513365
-0.69788945,-1.7294147,0.74615073,2.4043827,1.658232,0.0048261294
-0.66468656,-1.5591938,0.7091582,2.3474622,1.638304,0.004447163
-0.48595226,-1.6705568,0.53060675,2.2799754,1.7493687,0.0044654477
-0.6830764,-1.5969703,0.7298882,2.350884,1.6209958,0.004681181
-0.54466426,-1.5720532,0.586308,2.1480088,1.5617008,0.0041643735
-0.6692141,-1.4901942,0.71735406,2.1873336,1.4699795,0.0048139947
-0.38350192,-1.4539783,0.43799222,2.046535,1.6085428,0.005449029
-0.36288655,-1.5238523,0.40228832,1.9792222,1.5769339,0.0039401767
-0.6963969,-1.4370602,0.7322488,2.0268734,1.2946246,0.0035851877
-0.38645676,-1.4753828,0.43127012,1.9815437,1.5502735,0.004481336
-0.71939903,-1.3038006,0.77696157,2.1317701,1.3548086,0.0057562534
-0.4254464,-1.2720909,0.5033096,2.0317683,1.5284587,0.007786322
-0.5145841,-1.4426234,0.56628203,1.9525688,1.3862867,0.005169792
-0.61482114,-1.3287972,0.6670531,2.045271,1.3782178,0.0052231955
-0.5317862,-1.3757937,0.5949377,1.8731974,1.2782598,0.0063151447
-0.6470693,-1.3078787,0.7129388,1.9865663,1.2736275,0.006586949
-0.34138137,-1.2698197,0.3849187,1.6783359,1.2934172,0.004353731
-0.6829178,-1.3183483,0.73091817,1.9118224,1.1809043,0.0048000403
-0.7267132,-1.2222536,0.770712,1.8812943,1.1105822,0.004399881
-0.6178068,-1.2636347,0.69030905,1.7279465,1.0376375,0.007250227
-0.2202943,-1.1398188,0.28621888,1.5258405,1.2396216,0.0065924595
-0.64261293,-1.016156,0.6977588,1.6995718,1.001813,0.005514588
-0.6515837,-1.1262581,0.7118019,1.6555245,0.9437226,0.0060218233
-0.41441533,-0.8774738,0.4631605,1.5404828,1.0773222,0.004874518
-0.706014,-1.0296103,0.75914884,1.6434404,0.8842915,0.0053134835
-0.5050051,-0.99288034,0.54948366,1.4980421,0.94855845,0.004447854
-0.54403806,-0.9072814,0.61087537,1.5979929,0.9871175,0.0066837305
-0.60457104,-0.9477467,0.64888257,1.5608536,0.91197103,0.004431152
-0.45779067,-0.88785636,0.5195098,1.4061956,0.88668585,0.006171912
-0.66517526,-0.8827292,0.70575184,1.643417,0.93766516,0.00405766
-0.41183618,-0.91622,0.4839871,1.5215671,1.03758,0.0072150906
-0.63769734,-0.7117791,0.68565655,1.6226532,0.9369967,0.004795921
-0.5789666,-0.9127051,0.6606605,1.4866809,0.82602036,0.008169389
-0.79132444,-0.88985527,0.83570623,1.6229681,0.78726184,0.0044381795
-0.6602674,-0.7942123,0.72639686,1.6094558,0.88305897,0.0066129444
-0.70435905,-0.8526499,0.7690823,1.5292647,0.7601824,0.0064723273
-0.41730163,-0.6896485,0.48366588,1.3853407,0.9016748,0.006636425
-0.6209829,-0.89240825,0.68248785,1.4384367,0.7559489,0.006150496
-0.6332934,-0.7924486,0.6871619,1.5031166,0.8159547,0.0053868555
-0.74474686,-0.75763506,0.81625736,1.4956168,0.67935944,0.0071510472
-0.7341585,-0.5952782,0.78723896,1.5504942,0.76325524,0.005308047
-0.639702,-0.59636056,0.6891137,1.3536947,0.664581,0.004941164
-0.65223217,-0.56924164,0.7203382,1.3722458,0.65190756,0.006810609
-0.7870294,-0.60440665,0.8384042,1.5900049,0.75160074,0.0051374785
-0.7232629,-0.6848364,0.82904875,1.4633752,0.63432646,0.010578584
-0.7717575,-0.5806757,0.8618424,1.533673,0.67183065,0.009008492
-0.8279304,-0.6418227,0.89161575,1.3945527,0.50293696,0.0063685337
-0.6974485,-0.55222356,0.76025575,1.4197804,0.6595246,0.0062807244
-0.8558073,-0.5931984,0.9198048,1.4488807,0.52907586,0.0063997535
-0.68154263,-0.5152179,0.7666096,1.333116,0.56650645,0.0085067
-0.6884183,-0.6784162,0.7313069,1.3825659,0.65125895,0.004288858
-0.8120695,-0.64343214,0.85896957,1.3412598,0.48229027,0.00469001
-0.8105876,-0.5935172,0.88524336,1.2912403,0.40599698,0.0074655768
-0.5901569,-0.5079279,0.6605099,1.3137536,0.6532437,0.0070352945
-0.6611359,-0.53647256,0.7504987,1.3489665,0.59846777,0.008936278
-0.82946384,-0.40124983,0.92524004,1.3859041,0.46066403,0.009577617
-0.8424221,-0.5352683,0.9698011,1.4647796,0.4949785,0.012737899
-0.8073299,-0.4773348,0.8890809,1.3594046,0.4703237,0.008175099
-0.81288403,-0.46508104,0.89302933,1.3574082,0.4643788,0.00801453
-0.76557755,-0.37939537,0.8601661,1.3089135,0.44874743,0.009458851
-0.8198964,-0.33647567,0.91773105,1.4048469,0.48711586,0.009783465
-0.74955666,-0.43918085,0.8557104,1.1947714,0.33906102,0.010615375
-0.5542503,-0.3129307,0.6193968,1.0604984,0.44110155,0.0065146512
-0.770999,-0.32399172,0.84283334,1.1156144,0.27278107,0.0071834307
-0.79830116,-0.40016285,0.8939719,1.1171589,0.22318695,0.0095670745
-0.7708542,-0.31396765,0.8395362,1.1445445,0.3050083,0.006868199
-0.83170044,-0.26685214,0.91694045,1.2276533,0.3107128,0.008523998
-0.7417296,-0.38146156,0.8120652,1.0396472,0.22758204,0.007033556
-0.81097734,-0.30388862,0.88824105,1.2899914,0.40175036,0.0077263685
-1.0266578,-0.36184752,1.079958,1.3826466,0.3026886,0.005330012
-0.82950115,-0.30753982,0.902005,1.2723267,0.3703217,0.007250388
-0.69670975,-0.32576305,0.7690859,1.0514016,0.2823157,0.007237614
-0.98165804,-0.29433024,1.0467519,1.2932651,0.24651323,0.006509383
-1.0087966,-0.30249533,1.1315696,1.3993645,0.26779482,0.012277308
-0.7868023,-0.35661393,0.8735357,1.1720724,0.29853672,0.008673337
-0.9425646,-0.36320186,1.0102078,1.3042849,0.29407713,0.0067643165
